step,node,flow_in_veh_s,halting_sum,vehCount_sum
74,B2,0.000000,1,6
74,C0,0.000000,0,3
74,C1,1000.000000,3,7
74,C2,0.000000,0,0
75,A1,0.000000,11,16
75,B0,1000.000000,10,12
75,A0,0.000000,0,0
75,A2,0.000000,0,2
75,B1,1000.000000,10,18
75,B2,0.000000,2,6
75,C0,0.000000,0,3
75,C1,0.000000,3,7
75,C2,1000.000000,0,1
76,A1,1000.000000,10,17
76,B0,0.000000,11,12
76,A0,0.000000,0,0
76,A2,1000.000000,0,3
76,B1,0.000000,10,18
76,B2,0.000000,2,6
76,C0,0.000000,0,3
76,C1,0.000000,3,7
76,C2,0.000000,0,1
77,A1,1000.000000,10,17
77,B0,0.000000,11,12
77,A0,0.000000,0,0
77,A2,0.000000,0,3
77,B1,0.000000,10,17
77,B2,0.000000,2,6
77,C0,0.000000,0,3
77,C1,0.000000,3,7
77,C2,0.000000,0,1
78,A1,0.000000,10,17
78,B0,0.000000,11,12
78,A0,0.000000,0,0
78,A2,0.000000,0,3
78,B1,0.000000,11,17
78,B2,0.000000,2,6
78,C0,0.000000,0,3
78,C1,0.000000,3,6
78,C2,1000.000000,0,2
79,A1,1000.000000,10,18
79,B0,1000.000000,11,13
79,A0,0.000000,0,0
79,A2,0.000000,0,2
79,B1,1000.000000,11,18
79,B2,0.000000,2,6
79,C0,1000.000000,0,4
79,C1,0.000000,3,6
79,C2,0.000000,0,2
80,A1,0.000000,9,18
80,B0,0.000000,11,13
80,A0,0.000000,0,0
80,A2,0.000000,0,2
80,B1,0.000000,11,17
80,B2,0.000000,2,6
80,C0,0.000000,0,3
80,C1,0.000000,3,5
80,C2,0.000000,0,2
81,A1,1000.000000,10,18
81,B0,0.000000,11,13
81,A0,1000.000000,0,1
81,A2,0.000000,0,2
81,B1,0.000000,11,17
81,B2,0.000000,3,6
81,C0,0.000000,0,3
81,C1,0.000000,3,5
81,C2,0.000000,0,2
82,A1,0.000000,10,18
82,B0,2000.000000,11,15
82,A0,0.000000,0,1
82,A2,1000.000000,0,3
82,B1,0.000000,11,16
82,B2,0.000000,3,5
82,C0,1000.000000,0,3
82,C1,0.000000,3,5
82,C2,0.000000,0,2
83,A1,1000.000000,10,19
83,B0,1000.000000,11,16
83,A0,0.000000,0,1
83,A2,0.000000,0,3
83,B1,0.000000,12,16
83,B2,0.000000,4,5
83,C0,0.000000,0,3
83,C1,1000.000000,3,6
83,C2,0.000000,0,2
84,A1,0.000000,10,18
84,B0,0.000000,11,16
84,A0,0.000000,0,1
84,A2,1000.000000,0,4
84,B1,0.000000,12,16
84,B2,0.000000,4,5
84,C0,0.000000,0,3
84,C1,0.000000,3,6
84,C2,0.000000,0,2
85,A1,0.000000,10,18
85,B0,1000.000000,11,16
85,A0,0.000000,0,1
85,A2,0.000000,0,4
85,B1,2000.000000,14,18
85,B2,0.000000,5,5
85,C0,0.000000,0,2
85,C1,0.000000,3,5
85,C2,0.000000,0,2
86,A1,0.000000,10,18
86,B0,0.000000,11,16
86,A0,0.000000,0,1
86,A2,0.000000,0,3
86,B1,1000.000000,14,19
86,B2,0.000000,5,5
86,C0,0.000000,0,2
86,C1,0.000000,3,4
86,C2,0.000000,0,2
87,A1,1000.000000,11,19
87,B0,0.000000,11,16
87,A0,0.000000,0,1
87,A2,0.000000,0,3
87,B1,1000.000000,13,20
87,B2,0.000000,5,5
87,C0,0.000000,0,2
87,C1,1000.000000,3,5
87,C2,1000.000000,0,2
88,A1,1000.000000,11,20
88,B0,0.000000,11,16
88,A0,0.000000,0,1
88,A2,0.000000,0,2
88,B1,0.000000,13,20
88,B2,1000.000000,5,6
88,C0,0.000000,0,2
88,C1,0.000000,3,5
88,C2,0.000000,0,2
89,A1,0.000000,12,20
89,B0,0.000000,11,16
89,A0,0.000000,0,1
89,A2,0.000000,0,2
89,B1,0.000000,13,20
89,B2,1000.000000,5,7
89,C0,1000.000000,0,3
89,C1,0.000000,3,5
89,C2,0.000000,0,2
90,A1,0.000000,11,18
90,B0,0.000000,10,14
90,A0,0.000000,0,1
90,A2,1000.000000,0,3
90,B1,0.000000,12,18
90,B2,0.000000,3,5
90,C0,0.000000,0,3
90,C1,0.000000,2,4
90,C2,0.000000,0,1
91,A1,0.000000,12,18
91,B0,0.000000,8,14
91,A0,0.000000,0,1
91,A2,0.000000,0,3
91,B1,0.000000,10,18
91,B2,0.000000,2,5
91,C0,0.000000,0,3
91,C1,2000.000000,1,6
91,C2,0.000000,0,1
92,A1,0.000000,11,18
92,B0,2000.000000,6,16
92,A0,1000.000000,0,2
92,A2,1000.000000,0,4
92,B1,0.000000,7,18
92,B2,0.000000,1,5
92,C0,1000.000000,0,3
92,C1,0.000000,0,6
92,C2,0.000000,0,1
93,A1,0.000000,9,18
93,B0,1000.000000,6,17
93,A0,0.000000,0,1
93,A2,0.000000,0,4
93,B1,1000.000000,5,18
93,B2,0.000000,0,5
93,C0,0.000000,0,3
93,C1,0.000000,0,5
93,C2,1000.000000,0,2
94,A1,1000.000000,7,17
94,B0,0.000000,5,16
94,A0,0.000000,0,1
94,A2,0.000000,0,4
94,B1,0.000000,5,17
94,B2,1000.000000,0,6
94,C0,0.000000,0,3
94,C1,1000.000000,0,6
94,C2,0.000000,0,2
95,A1,1000.000000,6,18
95,B0,1000.000000,5,17
95,A0,0.000000,0,1
95,A2,0.000000,0,3
95,B1,1000.000000,5,18
